5012NG,Fuoco Rectangular Fire Table with Natural Gas Burner & Electronic Ignition,Fire_Pits_and_Tables,"24""","50""",,"25""",,"24""H x 50""W X 25""D",5012NG.png,1319.jpg,Giannini,
5102,Fuoco Propane Tank Cover,Fire_Pits_and_Tables,"24""","21""",,,,"24""H x 21""W",5102.png,1320.jpg,Giannini,
48,Firepit Square,Fire_Pits_and_Tables,,"48""w x 48""d x 20""h, 24""base",,,,"48""w x 48""d x 20""h, 24""base",48.png,1323.jpg,Giannini,
468,BOWL FIRE PIT,Fire_Pits_and_Tables,16'',,,42'',,42‘‘d x 16‘‘h,468.png,1325.jpg,Giannini,
4722,pebble wide,Fire_Pits_and_Tables,,"70""w x 42""d x 22""h",,,,"70""w x 42""d x 22""h",4722.png,1329.jpg,Giannini,
400,ECLIPSE,Fire_Pits_and_Tables,42”,,,42”,,42”D x 42”H,400.png,1332.jpg,Giannini,
na,Fire pit,Fire_Pits_and_Tables,n/a,n/a,n/a,n/a,,n/a,na.png,1333.jpg,Giannini,
1734,Quintus Wall Fountain Tall,Fountains,"56""","34""","26""W x 18""D","25""",,"56""H x 34""W x 25""D 26""W x 18""D Base",1734.png,1235.jpg,Giannini,
1737,Lamina Wall Fountain Short,Fountains,"43""","34""","26""W x 18""D","25""",,"43""H x 34""W x 25""D 26""W x 18""D Base",1737.png,1235.jpg,Giannini,
1738,Pyxis Fountain Tall,Fountains,"31""","34""",,"25""",,"31""H x 34""W x 25""D",1738.png,1235.jpg,Giannini,
1739,Pyxis Fountain Short,Fountains,"21""","32""",,"23""",,"21""H x 32""W x 23""D",1739.png,1235.jpg,Giannini,
1740,Quadrum Courtyard Fountain,Fountains,"48""","43""",,,,"48""H x 43""W",1740.png,1236.jpg,Giannini,
1741,Planum Courtyard Fountain,Fountains,"42""","43""",,,,"42""H x 43""W",1741.png,1236.jpg,Giannini,
1742,Serene Buddha Courtyard Fountain,Fountains,"41""","43""",,,,"41""H x 43""W",1742.png,1236.jpg,Giannini,
1745,Corina Lamina Wall Fountain,Fountains,"43""","23""W x 20""D",,,,"43""H x 23""W x 20""D",1745.png,1237.jpg,Giannini,
1743,Nadine Lamina Wall Fountain,Fountains,"48""","28""W x 21""D",,,,"48""H x 28""W x 21""D",1743.png,1237.jpg,Giannini,
1744,Adelina Lamina Wall Fountain,Fountains,"40""","23""W x 21""D",,,,"40""H x 23""W x 21""D",1744.png,1237.jpg,Giannini,
1319,Quadrum Pond,Fountains,"11""","43""W x 11""H",,,,"43""W x 11""H",1319.png,1237.jpg,Giannini,
1746,Piatti Fountain,Fountains,"31""","32""",,,,"31""H x 32""W x 32""D",1746.png,1270.jpg,Giannini,
1747,Penta Wall Fountain,Fountains,"40""","52""",,"17""",,"40""H x 52""W x 17""D",1747.png,1271.jpg,Giannini,
1748,Penta Wall Fountain Tall,Fountains,"50""H","52""W",,"17""D",,"50""H x 52""W x 17""D",1748.png,1272.jpg,Giannini,
1749,Scottsdale Fountain,Fountains,"34""","68""",,"55""",,"34""H x 68""W x 55""D",1749.png,1273.jpg,Giannini,
1750,Huntington Fountain,Fountains,"44""","39""",,,,"44""H x 39""W x 15"" Base Diameter",1750.png,1274.jpg,Giannini,
1751,Newport Tall,Fountains,"46""","33""W",,,,"46""H x 33""W x 15"" Base Diameter",1751.png,1275.jpg,Giannini,
1752,Newport Fountain,Fountains,"26""","33""",,,,"26""H x 33""W",1752.png,1276.jpg,Giannini,
1753,Marina Fountain Tall,Fountains,"33""","34""",,,,"33""H x 34""W",1753.png,1277.jpg,Giannini,
1754,Marina Fountain,Fountains,"24""","34""",,,,"24""H x 34""W",1754.png,1278.jpg,Giannini,
1755,Acqua Fountain,Fountains,"18""","33""",,,,"18""H x 33""W",1755.png,1279.jpg,Giannini,
1756,Tapered Zen Fountain,Fountains,"41""","23""",,,,"41""H x 23""W",1756.png,1280.jpg,Giannini,
1757,Lisse Bird Fountain,Fountains,"28""","27""",,,,"28""H x 27""W",1757.png,1281.jpg,Giannini,
1758,Basalt Triple Cascade Fountain,Fountains,"27""","48""W x 55""D",,,,"27""H x 48""W x 55""D",1758.png,1282.jpg,Giannini,
1759,Pebble Falls Fountain,Fountains,"30""","36""w x 27""d",,,,"30""H x 36""W x 27""D",1759.png,1283.jpg,Giannini,
1760,Slate Waterwall Fountain with Tall Base,Fountains,"51""","26""",,,,"51""H x 26""W x 23"" D",1760.png,1284.jpg,Giannini,
1761,Slate Spillway Fountain,Fountains,"51""","26""w x 23"" d",,,,"51""H x 26""W x 23"" D",1761.png,1285.jpg,Giannini,
1762,Tribus Rock Fountain,Fountains,"46""","30""",,,,"46""H x 30""W x 22""D",1762.png,1286.jpg,Giannini,
1763,Rock Springs Fountain,Fountains,"41""","26""W x 34""D",,,,"41""H x 26""W x 34""D",1763.png,1287.jpg,Giannini,
